,AUROC,dataset_name,data_type,flow_name,embedding_name,hidden_dim
92,0.9960718547764844,10_cover,features,maf,simple,32
61,0.8949572810647574,10_cover,features,real_nvp,simple,32
96,0.9772407360283007,10_cover,features,planar,simple,32
45,0.927775691634946,10_cover,latents,glow,none,32
42,0.9331591966279252,10_cover,latents,real_nvp,none,32
102,0.8690081183897805,10_cover,latents,planar,none,32
16,0.8616873986006311,10_cover,features,glow,simple,32
15,0.8620083078317293,10_cover,latents,maf,none,32
44,0.8650411635477602,11_donors,features,planar,none,32
74,0.8428764824872378,11_donors,latents,real_nvp,none,32
94,0.8560605534145604,11_donors,features,glow,none,32
57,0.886000471999189,11_donors,latents,planar,none,32
104,0.5062774296133753,11_donors,latents,maf,none,32
27,0.9750007224200666,11_donors,features,real_nvp,none,32
88,0.8119854279386437,11_donors,latents,glow,none,32
7,0.6560857331740497,11_donors,features,maf,none,32
93,0.9993776735002676,16_http,latents,glow,none,32
72,0.9994573622911642,16_http,latents,maf,none,32
73,0.9935378366502072,16_http,features,planar,simple,32
75,0.9998701255690408,16_http,features,glow,simple,32
47,0.9935316151014166,16_http,features,maf,simple,32
24,0.9999885086169614,16_http,features,real_nvp,simple,32
109,0.9994582123934778,16_http,latents,planar,none,32
82,0.9994594897472128,16_http,latents,real_nvp,none,32
78,0.7132714459852378,22_magic.gamma,features,planar,none,256
60,0.8214655993296314,22_magic.gamma,features,maf,none,256
2,0.7384762208871928,22_magic.gamma,latents,planar,none,32
41,0.6705134410787199,22_magic.gamma,features,glow,none,256
107,0.739745608005081,22_magic.gamma,features,real_nvp,none,256
64,0.6870979638591473,22_magic.gamma,latents,glow,none,32
22,0.7301678882360747,22_magic.gamma,latents,real_nvp,none,32
18,0.7261603911110783,22_magic.gamma,latents,maf,none,32
32,0.8320479369573026,23_mammography,features,real_nvp,none,256
55,0.8943767209628236,23_mammography,features,planar,none,256
36,0.8347169698378157,23_mammography,latents,real_nvp,none,32
50,0.7672532905161303,23_mammography,latents,glow,none,32
91,0.6213149388375974,23_mammography,features,glow,none,256
113,0.8395418277593504,23_mammography,latents,planar,none,32
83,0.9009616264903274,23_mammography,features,maf,none,256
76,0.8260040563665941,23_mammography,latents,maf,none,32
86,0.9323714126240296,27_PageBlocks,latents,glow,none,32
19,0.9398156067669744,27_PageBlocks,latents,real_nvp,none,32
46,0.938471206627234,27_PageBlocks,features,maf,simple,32
0,0.93554669461477,27_PageBlocks,features,glow,simple,32
